Model,Model Year,
IONIQ 5,2023,205
MODEL Y,2023,216
MODEL 3,2024,216
MODEL Y,2022,279
LEAF,2022,283
NIRO,2024,247
R1S,2023,247
LEAF,2023,259
EV6,2023,259
LEAF,2025,259
MODEL Y,2021,177
F-150,2023,320
E-TRON,2023,320
I4,2024,208
IX,2024,208
EV6,2022,218
BOLT EUV,2023,232
MODEL 3,2021,232
R1T,2025,232
MUSTANG MACH-E,2021,208
EDV,2024,208
IX,2023,161
MODEL Y,2024,161
MODEL X,2024,161
BLAZER EV,2024,285
Q4,2023,319
MODEL 3,2023,206
E-TRON GT,2022,232
E-TRON,2022,218
MODEL Y,2025,230
F-150,2024,230
MUSTANG MACH-E,2023,240
MODEL X,2022,240
EV6,2024,230
MODEL 3,2025,114
LEAF,2021,270
IONIQ 5,2024,256
R1T,2022,256
IX,2025,267
MODEL S,2023,256
NIRO,2022,256
I4,2022,296
ARIYA,2023,291
MODEL S,2022,231
ID.4,2023,240
MUSTANG MACH-E,2024,245
ID.4,2021,209
LEAF,2024,206
MODEL 3,2022,170
R1S,2024,220
KONA ELECTRIC,2024,220
IONIQ 5,2025,220
I4,2025,245
IONIQ 6,2024,221
CYBERTRUCK,2024,240
MODEL S,2021,240
MODEL S,2024,240
ID.4,2022,324
MODEL X,2023,288
E-TRON,2021,288
BOLT EV,2023,288
KONA ELECTRIC,2021,258
BOLT EV,2021,258
NIRO,2023,258
SILVERADO EV,2024,261
EV9,2024,261
RS E-TRON GT,2023,150
ARIYA,2025,150
Q6,2025,150
EQUINOX EV,2024,149
F-150,2022,149
Q8,2024,149
R1T,2023,272
I4,2023,272
I5,2024,272
MUSTANG MACH-E,2022,272
ID.4,2024,303
BOLT EUV,2022,396
I7,2024,396
EQUINOX EV,2025,396
ARIYA,2024,348
IONIQ 5,2022,348
I5,2025,321
KONA ELECTRIC,2023,321
E-TRON SPORTBACK,2022,335
NIRO,2021,335
IONIQ 6,2025,314
BLAZER EV,2025,303
MODEL X,2025,279
IONIQ,2021,279
EV9,2025,279
KONA ELECTRIC,2022,277
IONIQ 6,2023,211
R1S,2025,224
TRANSIT,2023,224
IX,2022,250
TRANSIT,2022,239
KONA ELECTRIC,2025,239
R1T,2024,239
R1S,2022,253
BOLT EV,2022,253
RS E-TRON GT,2024,208
Q4,2022,208
NIRO,2025,307
SQ8,2024,285
MODEL X,2021,260
LEAF,2020,260
IONIQ 5 N,2025,258
ID. BUZZ,2025,258
I7,2023,258
I3,2021,258
E-TRON GT,2023,260
E-TRON GT,2024,260
TRANSIT,2024,244
EDV,2023,232
SOUL EV,2019,232
MODEL S,2025,232
E-TRON SPORTBACK,2021,450
RS E-TRON GT,2022,492
EDV,2022,111
SILVERADO EV,2025,275
CYBERTRUCK,2025,253
SQ6,2025,196
ROADSTER,2008,196
BRIGHTDROP 400,2025,196
