Model,Model Year,msrp,Type
MODEL 3,2019,35000,Sedan
MODEL Y,2020,44990,CUV
IONIQ 5,2023,41450,CUV
MODEL S,2012,57400,Sedan
I3,2017,42400,Hatchback
MODEL 3,2018,46000,Sedan
LEAF,2014,28980,Hatchback
MODEL X,2020,79990,SUV
MODEL S,2015,69900,Sedan
I3,2018,44450,Hatchback
LEAF,2016,29010,Hatchback
LEAF,2015,29010,Hatchback
I3,2015,42400,Hatchback
MODEL S,2016,68000,Sedan
LEAF,2013,28800,Hatchback
LEAF,2017,30680,Hatchback
BOLT EV,2019,36620,Hatchback
MODEL Y,2023,43990,CUV
MODEL 3,2024,38990,Sedan
SPARK,2016,7499,Hatchback
MODEL S,2014,69900,Sedan
MODEL Y,2022,65990,CUV
IONIQ,2020,33045,Hatchback
LEAF,2022,27400,Hatchback
SOUL,2016,31950,CUV
NIRO,2024,39600,CUV
LEAF,2019,29990,Hatchback
R1S,2023,78000,SUV
LEAF,2023,28040,Hatchback
EV6,2023,42600,CUV
E-GOLF,2019,31895,Hatchback
LEAF,2025,28140,Hatchback
MODEL X,2018,84000,SUV
LEAF,2020,31600,Hatchback
MODEL Y,2021,39990,CUV
LEAF,2018,29990,Hatchback
MODEL 3,2020,35000,Sedan
F-150,2023,49995,Truck
E-TRON,2023,70800,SUV
BOLT EV,2017,36620,Hatchback
I4,2024,52200,Sedan
IX,2024,87100,SUV
LEAF,2012,35200,Hatchback
BOLT EV,2020,36620,Hatchback
SOUL EV,2017,32250,CUV
EV6,2022,44100,CUV
KONA,2020,37190,CUV
MODEL S,2017,68000,Sedan
BOLT EUV,2023,27800,CUV
MODEL S,2018,78000,Sedan
MODEL 3,2021,44990,Sedan
R1T,2025,69900,Truck
MUSTANG MACH-E,2021,42895,CUV
NIRO,2020,39090,CUV
BOLT EV,2018,36620,Hatchback
NIRO,2019,38500,CUV
E-GOLF,2015,33450,Hatchback
MODEL X,2016,74000,SUV
E-GOLF,2016,28995,Hatchback
SPARK,2015,7498,Hatchback
LEAF,2011,33720,Hatchback
EDV,2024,83000,Van
E-TRON,2021,65900,SUV
MODEL X,2017,79500,SUV
FOCUS,2017,29995,Sedan
E-GOLF,2017,30495,Hatchback
IX,2023,84100,SUV
MODEL Y,2024,42990,CUV
MODEL X,2024,79990,SUV
MODEL S,2013,69900,Sedan
BLAZER EV,2024,48800,SUV
Q4,2023,49800,CUV
MODEL 3,2023,38990,Sedan
E-TRON GT,2022,102400,Sedan
E-TRON,2022,65900,SUV
MODEL Y,2025,44990,CUV
F-150,2024,54995,Truck
MUSTANG MACH-E,2023,39895,CUV
MODEL X,2022,120990,SUV
EV6,2024,42600,CUV
MODEL 3,2025,42490,Sedan
LEAF,2021,31670,Hatchback
IONIQ 5,2024,41800,CUV
R1T,2022,67500,Truck
IX,2025,87250,SUV
MODEL S,2023,74990,Sedan
NIRO,2022,39090,CUV
I4,2022,55400,Sedan
ARIYA,2023,43190,SUV
MODEL S,2022,104990,Sedan
ID.4,2023,38995,CUV
MUSTANG MACH-E,2024,39995,CUV
ID.4,2021,39995,CUV
MODEL X,2019,81000,SUV
